number,igsn,traintext,iSampleMaterial
744682,ODP01F11J,"ODP | Section 146-891B-34X-3 | Core Section | 3 TO PALEO;  | ODP Leg 146 | platform: Ship, Joides Resolution",mat:rockorsediment
744837,ODP01F1NE,"ODP | SubSection 146-892D-12X-3-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 146 | platform: Ship, Joides Resolution",mat:rockorsediment
744917,ODP02STLR,"ODP | Sample 184-1148A-56X-2 (17-19 cm.) | Individual Sample | Janus sample_id: 1567386 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
744934,ODP02DR2T,"ODP | Sample 160-967B-6H-6 (77-78 cm.) | Individual Sample | Janus sample_id: 166976 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
744962,PRR017998,PRR-17998 | | Rock>Sedimentary | Erratic from moraine | Brazitis Nunatak | Sandstone,mat:rock
745092,ODP022AU2,"ODP | Sample 129-801B-35R-1 (76-80 cm.) | Individual Sample | Janus sample_id: 411285 | ODP Leg 129 | platform: Ship, Joides Resolution",mat:rockorsediment
745124,ODP022AV6,"ODP | Sample 129-801B-35R-2 (90-91 cm.) | Individual Sample | Janus sample_id: 413068 | ODP Leg 129 | platform: Ship, Joides Resolution",mat:rockorsediment
745138,ODP022AVO,"ODP | Sample 129-801B-35R-3 (1-5 cm.) | Individual Sample | Janus sample_id: 416987 | ODP Leg 129 | platform: Ship, Joides Resolution",mat:rockorsediment
745264,ODP022B0S,"ODP | Sample 129-801B-43R-1 (59-61 cm.) | Individual Sample | Janus sample_id: 1649142 | ODP Leg 129 | platform: Ship, Joides Resolution",mat:rockorsediment
745279,SLB00001N,SLB | SWC5 40-50 cm | Terrestrial Section | Bulk | depth 40-50 cm below land surface,mat:soil
745280,ODP022B1C,"ODP | Sample 129-801B-43R-3 (30-34 cm.) | Individual Sample | Janus sample_id: 32 | ODP Leg 129 | platform: Ship, Joides Resolution",mat:rockorsediment
745393,ODP02SUAK,"ODP | Sample 184-1148A-68X-6 (105-106 cm.) | Individual Sample | Janus sample_id: 1393800 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
745422,IEPFS005J,USGS-NRP 86.94 cm | Core Half Round | depth 86.94-86.94 cm | Deadhorse2 | permafrost,mat:soil
745428,IEGRL00BZ,13729 WR 8-3 2300 | Grab | stream (proglacial) | Watson River | suspended sediments,mat:particulate
745507,ODP02DTRE,"ODP | Sample 160-966C-13X-1 (20-24 cm.) | Individual Sample | Janus sample_id: 20003701 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
745585,UGS0005OK,Bybell-007095 | | geologicage: Paleocene Lakhra | south of Hyderabad | Macrofossils,mat:rock
745712,ODP02DU0G,"ODP | Sample 160-967C-4H-2 (68-69 cm.) | Individual Sample | Janus sample_id: 1108590 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
745736,ODP022C2A,"ODP | Sample 130-806A-1H-1 (122-123 cm.) | Individual Sample | Janus sample_id: 638728 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
745742,ODP022C2K,"ODP | Sample 130-806A-1H-1 (33-35 cm.) | Individual Sample | Janus sample_id: 643921 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
745775,ODP02DU38,"ODP | Sample 160-967C-4H-5 (27-28 cm.) | Individual Sample | Janus sample_id: 1090678 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
745831,GRO000891,GRO | TSFRA114 | | Fraser River at New Westminster | Sapperton Landing | 20 mL LDPE | Liquid>aqueous,mat:liquidwater
745952,ODP02SUUP,"ODP | Sample 184-1148A-76X-2 (5-6 cm.) | Individual Sample | Janus sample_id: 1394612 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
745993,HRV001OP9,HRV | 108883 | | Mineral>Lollingite | Mineral Group: Lollingite;    | Sterling Mine,mat:mineral
746003,HRV003CO5,HRV | 109644 | | Mineral>Bianchite | Mineral Group: Hexahydrite;    | Sterling Mine,mat:mineral
746107,ODP01F5AX,"ODP | Section Half 149-899B-26R-1-W | Core Section Half | ODP Leg 149 | platform: Ship, Joides Resolution",mat:rockorsediment
746185,ODP01F5EU,"ODP | SubSection 149-897C-7R-2-1C (0-4 cm.) | Core Sub-Piece | Core | ODP Leg 149 | platform: Ship, Joides Resolution",mat:rockorsediment
746391,ODP02DUT9,"ODP | Sample 160-967C-8H-6 (49-50 cm.) | Individual Sample | Entire archive half;  Janus sample_id: 1103848 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
746429,HRV000AO1,HRV | 84588 | | Mineral>Stichtite | Mineral Group: Hydrotalcite;    | Kaapsche Hoop,mat:mineral
746448,ODP02DUW1,"ODP | Sample 160-967C-11H-6 (10-12 cm.) | Individual Sample | Janus sample_id: 1102822 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
746495,ODP02DWCV,"ODP | Sample 160-964D-3H-7 (52-54 cm.) | Individual Sample | Janus sample_id: 1079078 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
746521,HRV000N70,HRV | 90657 | | Mineral>Hibschite | Mineral Group: Garnet;    | Buffelsfontein Farm,mat:mineral
746546,HRV000RN0,HRV | 92364 | | Mineral>Sodalite | Mineral Group: Sodalite; Variety: hackmanite;   ,mat:mineral
746592,HRV000V75,HRV | 96178 | | Mineral>Ilmenite | Mineral Group: Ilmenite;    | Lappach Pusterthal,mat:mineral
746627,ODP022JLH,"ODP | Sample 130-807A-29X-2 (44-46 cm.) | Individual Sample | Janus sample_id: 607571 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
746634,IECUR008O,IECUR | 174662M | Rock Powder | Rock>Sedimentary>Siliciclastic | Magnetic separate.,mat:rock
746636,ODP02DXAG,"ODP | Sample 160-966D-3H-2 (90-92 cm.) | Individual Sample | Janus sample_id: 1080398 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
746729,IEDAI0043,IEDAI | BAD2-36 grounded | | depth 750-750 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746734,IEDAI0048,IEDAI | BAD2-41 grounded | | depth 883-893 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746738,IEDAI03MH,IEDAI | BAD4-10 grounded | | depth 270-275 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746743,IEDAI03MM,IEDAI | BAD4-15 grounded | | depth 365-370 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746746,IEDAI03MP,IEDAI | BAD4-18 grounded | | depth 445-450 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746756,IEDAI03MZ,IEDAI | BAD4-28 grounded | | depth 690-700 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746771,IEDAI009V,IEDAI | BAD9/19 grounded | | depth 482-490 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746774,IEDAI009Y,IEDAI | BAD9/23 grounded | | depth 635-645 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746777,IEDAI00A1,IEDAI | BAD9/27 grounded | | depth 770-780 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746806,IEDAI04H9,IEDAI | BLA4/12 grounded | | depth 320-330 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746848,IEDAI00RH,IEDAI | ELA61/8 grounded | | depth 335-345 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746853,IEDAI01VA,IEDAI | IASO/23 grounded | | depth 110-115 CMBS | Paleoenvironmental reconstruciton,mat:rockorsediment
746861,IEDAI01VI,IEDAI | IASO/31 grounded | | depth 150-155 CMBS | Paleoenvironmental reconstruciton,mat:rockorsediment
746870,ODP02DXJ9,"ODP | Sample 160-966D-5H-5 (80-81 cm.) | Individual Sample | Janus sample_id: 1100834 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
746891,IEDAI04QE,IEDAI | ROC1/10 grounded | | depth 375-385 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746894,IEDAI04QH,IEDAI | ROC1/14 grounded | | depth 460-470 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746902,IEDAI04QP,IEDAI | ROC1/22 grounded | | depth 835-845 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746921,IEDAI04B2,IEDAI | SEM7/13 grounded | | depth 460-470 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746922,IEDAI04B3,IEDAI | SEM7/14 grounded | | depth 480-490 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
746936,IEDAI015N,IEDAI | TAY34/8 0_063 MF | | depth 450-460 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
747077,IEFRA0908,IEFRA | ARM14_II_03_A3x | Core Section Half | 130.5 | CONTINENT | ARMOR | PALAS2014,mat:sediment
747231,ODP02DXW8,"ODP | Sample 160-966D-8H-4 (33-35 cm.) | Individual Sample | FLOW IN;  Janus sample_id: 1082467 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
747255,IEFRA0128,IEFRA | THU_10_02H1b | Core Section Half | 100_0 | lake | THUILE | PALEOMAG26/04/10,mat:sediment
747268,IEFRA093H,IEFRA | VAL14_02_A1x | Core Section Half | 148 | CONTINENT | VALLON | PSaba20140619,mat:sediment
747272,IEFRA093L,IEFRA | VAL14_03_A1x | Core Section Half | 186 | CONTINENT | VALLON | PSaba20140619,mat:sediment
747291,ODP02SWGE,"ODP | Sample 184-1143B-12H-2 (146-148 cm.) | Individual Sample | Janus sample_id: 1361976 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
747292,ODP02DXYA,"ODP | Sample 160-966D-9H-6 (34-36 cm.) | Individual Sample | Janus sample_id: 1081225 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
747303,ODP02SWGT,"ODP | Sample 184-1143B-12H-2 (10-11 cm.) | Individual Sample | Janus sample_id: 1370439 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
747306,IENHR0005,IENHR | NC18-15D | | Rock>Metamorphic>Meta-Ultramafic | serpentinite | Geochemistry,mat:rock
747308,ODP022LFY,"ODP | Sample 130-807A-65X-2 (113-115 cm.) | Individual Sample | Janus sample_id: 628435 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
747334,ODP02SWHV,"ODP | Sample 184-1143B-12H-3 (50-52 cm.) | Individual Sample | Janus sample_id: 1361890 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
747348,ODP02SWIE,"ODP | Sample 184-1143B-12H-3 (26-28 cm.) | Individual Sample | Janus sample_id: 1361978 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
747391,ODP02DY1K,"ODP | Sample 160-966D-15X-1 (0-5 cm.) | Individual Sample | Janus sample_id: 1081436 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
747401,ODP022LK6,"ODP | Sample 130-807A-68X-2 (68-71 cm.) | Individual Sample | Janus sample_id: 608220 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
747450,MGD0000W6,MGD | CT11/7-7-6 | |   | RidgeSegment | EPR:9N | AT11-07 | platform: Ship_ Atlantis,mat:rock
747513,ODP02DZQV,"ODP | Sample 160-970D-5H-4 (119-121 cm.) | Individual Sample | Janus sample_id: 1092111 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
747616,NHB00580T,NHB | NMNH 108566-109 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747650,NHB00581T,NHB | NMNH 108566-145 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747673,NHB005888,NHB | NMNH 108569-119 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747689,NHB00588Z,NHB | NMNH 108569-146 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747707,NHB00589R,NHB | NMNH 108569-175 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747709,NHB00589U,NHB | NMNH 108569-178 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747755,ODP02E1FE,"ODP | Sample 160-969E-1H-3 (80-82 cm.) | Individual Sample | Janus sample_id: 168024 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
747768,ODP022LVB,"ODP | Sample 130-807A-73X-6 (75-77 cm.) | Individual Sample | Janus sample_id: 640789 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
747773,NHB0058CE,NHB | NMNH 108569-272 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747807,NHB0058DU,NHB | NMNH 108569-324 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747829,NHB0058EQ,NHB | NMNH 108569-362 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747872,NHB0058GE,NHB | NMNH 108569-422 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747905,NHB0058HR,NHB | NMNH 108569-471 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747938,NHB0058LL,NHB | NMNH 108570-118 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747946,NHB0058LT,NHB | NMNH 108570-126 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747949,NHB0058LW,NHB | NMNH 108570-129 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
747996,NHB0058NB,NHB | NMNH 108570-181 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748064,NHB0058PB,NHB | NMNH 108570-253 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748074,ODP022MBS,"ODP | Sample 130-807A-84X-3 (62-64 cm.) | Individual Sample | Janus sample_id: 623004 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
748091,NHB0058SX,NHB | NMNH 108571-143 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748117,NHB0058U0,NHB | NMNH 108571-199 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748122,NHB0058U6,NHB | NMNH 108571-206 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748145,NHB0058UY,NHB | NMNH 108571-240 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748170,ODP02SXHF,"ODP | Sample 184-1143B-20X-2 (66-68 cm.) | Individual Sample | Janus sample_id: 1373003 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
748207,NHB0058Z1,NHB | NMNH 108571-56F (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748216,ODP022MFU,"ODP | Sample 130-803B-1H-1 (57-58 cm.) | Individual Sample | Janus sample_id: 641413 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
748226,NHB00592T,NHB | NMNH 108572-113 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748259,ODP022MH1,"ODP | Sample 130-803B-1H-2 (60-61 cm.) | Individual Sample | Janus sample_id: 621120 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
748277,NHB00597G,NHB | NMNH 108573-110 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748346,NHB0059AE,NHB | NMNH 108573-239 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748398,ODP02E2CN,"ODP | Sample 160-969E-7H-3 (90-91 cm.) | Individual Sample | depleted;  Janus sample_id: 1107997 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
748404,ODP02SXP1,"ODP | Sample 184-1144B-2H-3 (51-53 cm.) | Individual Sample | Janus sample_id: 1342700 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
748469,ODP02E2FV,"ODP | Sample 160-969E-7H-6 (40-41 cm.) | Individual Sample | Janus sample_id: 1087555 | ODP Leg 160 | platform: Ship, Joides Resolution",mat:rockorsediment
748516,ODP022MP9,"ODP | Sample 130-803B-2H-3 (20-21 cm.) | Individual Sample | Janus sample_id: 621195 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
748537,NHB0059JV,NHB | NMNH 108574-259 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748542,ODP01GDXA,"ODP | SubSection 155-944A-35X-1-1C (0-2 cm.) | Core Sub-Piece | Core | ODP Leg 155 | platform: Ship, Joides Resolution",mat:rockorsediment
748556,NHB0059KB,NHB | NMNH 108574-278 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748575,NHB0059KU,NHB | NMNH 108574-298 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748587,NHB0059L6,NHB | NMNH 108574-310 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748628,NHB0059MB,NHB | NMNH 108574-355 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748659,NHB0059NO,NHB | NMNH 108574-41B (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
748766,NHB005P2K,NHB | NMNH 112433-902 (PET) | Individual Sample  |  United Zinc Corp | Unidentified,mat:material
748902,ODP022N3V,"ODP | Sample 130-803B-3H-2 (53-54 cm.) | Individual Sample | #0790;  Janus sample_id: 642136 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
748925,ODP02SYAK,"ODP | Sample 184-1144B-6H-5 (101-103 cm.) | Individual Sample | Janus sample_id: 1346539 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
748935,NHB0062QX,NHB | NMNH 114385-16 (PET) | | Rock>Igneous | Volcano | Hualalai  |  Olivine-gabbro,mat:rock
749049,ODP02SYG5,"ODP | Sample 184-1144B-8H-5 (30-31 cm.) | Individual Sample | Janus sample_id: 1349033 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
749059,ODP022N9H,"ODP | Sample 130-803B-3H-4 (74-75 cm.) | Individual Sample | #0887;  Janus sample_id: 642233 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
749068,ODP022N9Q,"ODP | Sample 130-803B-3H-4 (108-109 cm.) | Individual Sample | #0896;  Janus sample_id: 642242 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
749161,ODP022NDE,"ODP | Sample 130-803B-3H-6 (95-96 cm.) | Individual Sample | Janus sample_id: 618580 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
749163,NHB006V0Y,NHB | NMNH 117226-740 (PET) | | Rock>Sedimentary  |  1/8 mi N of BM 8980 | Sediment,mat:rockorsediment
749308,ODP022NIO,"ODP | Sample 130-803B-4H-2 (60-61 cm.) | Individual Sample | Janus sample_id: 618648 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
749376,ODP01HZP8,"ODP | SubSection 164-995A-76X-1-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
749437,NHB007J01,NHB | NMNH 118016-762 (PET) | | Rock>Igneous | Volcano | Cima Lava Field  |  Basalt,mat:rock
749452,ODP02SYW9,"ODP | Sample 184-1144B-11H-5 (72-74 cm.) | Individual Sample | Janus sample_id: 1353307 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
749521,ODP02E4G3,"ODP | Sample 161-977A-2H-5 (1-3 cm.) | Individual Sample | Janus sample_id: 1062351 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
749534,ODP01ILSY,"ODP | Section Half 167-1014A-19X-7-A | Core Section Half | ODP Leg 167 | platform: Ship, Joides Resolution",mat:rockorsediment
749538,ODP02SYZM,"ODP | Sample 184-1144B-12H-2 (56-58 cm.) | Individual Sample | Janus sample_id: 1354940 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
749576,NHB000P2O,NHB | NMNH 119985-00 (MIN) | | Mineral>Tremolite  |  Wilberforce | Chrome-tremolite,mat:mineral
749592,ODP02E4JO,"ODP | Sample 161-977A-3H-1 (107-109 cm.) | Individual Sample | Janus sample_id: 46698 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
749593,ODP022NSN,"ODP | Sample 130-803B-5H-2 (125-126 cm.) | Individual Sample | Janus sample_id: 618853 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
749623,NHB000S7I,NHB | NMNH 123992-00 (MIN) | | Mineral>Other | Unknown | Calcium-borate-nonahydrate,mat:otheranthropogenicmaterial
749658,NHB000UFY,NHB | NMNH 126938-00 (MIN) | | Mineral>Orpiment  |  Libertad_ Quiruvilca | Orpiment,mat:mineral
749778,NHB0013K6,NHB | NMNH 139004-00 (MIN) | | Mineral>Jacobsite  |  Filipstad_ Langban | Jacobsite,mat:mineral
749786,ODP01IMGK,"ODP | SubSection 167-1014A-50X-7-1C (0-32 cm.) | Core Sub-Piece | Core | ODP Leg 167 | platform: Ship, Joides Resolution",mat:rockorsediment
749813,NHB0015H3,NHB | NMNH 141520-00 (MIN) | | Mineral>Todorokite  |  Kuruman District | Todorokite,mat:mineral
749817,ODP02E4U5,"ODP | Sample 161-977A-3H-6 (1-3 cm.) | Individual Sample | Janus sample_id: 47168 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
749940,ODP02E505,"ODP | Sample 161-977A-4H-1 (107-108 cm.) | Individual Sample | Janus sample_id: 138062 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
750025,NHB001F5A,NHB | NMNH 154139-00 (MIN) | | Mineral>Phosgenite  |  Lavrion District | Phosgenite,mat:mineral
750124,NHB001NF0,NHB | NMNH 164850-00 (MIN) | | Mineral>Other  |  Belo Horizonte (Near) | Samarskite,mat:mineral
750159,ODP02SZNO,"ODP | Sample 184-1144B-14H-2 (22-24 cm.) | Individual Sample | Janus sample_id: 1358932 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
750289,NHB003XAX,NHB | NMNH 44254 (PET) | Rock>Ore | Aluminum ore with cryolite | Individual Sample ,mat:rock
750304,ODP02SZSZ,"ODP | Sample 184-1144B-14H-5 (105-106 cm.) | Individual Sample | Janus sample_id: 1358571 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
750336,NHB003XL8,NHB | NMNH 51360 (PET) | Flue dust | Individual Sample  |  Harrison Reduction Works,mat:particulate
750337,NHB003XL9,NHB | NMNH 51361 (PET) | Flue dust | Individual Sample  |  Harrison Reduction Works,mat:particulate
750340,NHB003XOS,NHB | NMNH 51491 (PET) | Flue dust | | Mine | Breece Hill Mine  |  California Works,mat:particulate
750373,ODP01J7A2,"ODP | Section Half 168-1026C-5R-2-A | Core Section Half | ODP Leg 168 | platform: Ship, Joides Resolution",mat:rockorsediment
750534,ODP02T00Z,"ODP | Sample 184-1144B-15H-4 (30-31 cm.) | Individual Sample | Janus sample_id: 1360102 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
750585,ODP022ORN,"ODP | Sample 130-804B-4H-7 (59-60 cm.) | Individual Sample | Janus sample_id: 639942 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
750602,NHB00079Y,NHB | NMNH 84782-00 (MIN) | | Mineral>Gadolinite  |  Hitteroe_ Egeland | Gadolinite,mat:mineral
750694,NHB004SJT,NHB | NMNH 91511-76 (PET) | | Mineral>Aragonite  |  Ruby Emmett Dump | Nicholsonite,mat:mineral
750697,NHB004SX4,NHB | NMNH 91573-21 (PET) | | Rock>Ore  |  Locality Key: Craig Co ? | Manganese ore,mat:rock
750953,ODP02T0GA,"ODP | Sample 184-1144B-19H-5 (45-46 cm.) | Individual Sample | Janus sample_id: 1363229 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
751060,NHB001Y5Y,NHB | NMNH B5718-00 (MIN) | | Mineral>Brookite | Grunebrusch_ Hirschberg | Brookite,mat:mineral
751060,ODP02E6CR,"ODP | Sample 161-977A-11H-4 (88-89 cm.) | Individual Sample | Janus sample_id: 1063171 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
751188,NHB002HC5,NHB | NMNH C6616-00 (MIN) | | Mineral>Pyrite  |  Bingham Canyon; Park City | Pyrite,mat:mineral
751222,ODP02E6IQ,"ODP | Sample 161-977A-12H-4 (140-141 cm.) | Individual Sample | Janus sample_id: 20016127 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
751323,NHB002NKQ,NHB | NMNH G9221-00 (MIN) | | Mineral>Jadeite | Unknown | Jadeite and jade necklace,mat:mineral
751546,NHB007WI4,NHB | NMNH M22725-00 (MIN) | | Mineral>ApatiteGroup | Mine | Foote Mine  |  Apatite,mat:mineral
751550,ODP02E6VJ,"ODP | Sample 161-977A-15H-2 (3-5 cm.) | Individual Sample | Janus sample_id: 1074833 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
751570,ODP02T121,"ODP | Sample 184-1144B-32X-5 (49-51 cm.) | Individual Sample | Janus sample_id: 1653013 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
751614,NHB002RWK,NHB | NMNH M2680-00 (MIN) | | Mineral>Boracite  |  Schildstein_ Luneberg | Boracite,mat:mineral
751633,ODP022PUZ,"ODP | Sample 130-805B-13H-4 (93-94 cm.) | Individual Sample | Janus sample_id: 633191 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
751654,NHB007VPI,NHB | NMNH M30095-00 (MIN) | | Mineral>Wulfenite | Mine | Rowley Mine  |  Wulfenite,mat:mineral
751669,NHB0085VB,NHB | NMNH M32016-00 (MIN) | | Mineral>Copper | Mine | Copper Queen Mine  |  Copper,mat:mineral
751729,NHB002UYZ,NHB | NMNH M6640-00 (MIN) | | Mineral>Fluorite  |  Mt. Antero | Fluorite with beryl,mat:mineral
751766,ODP022PZP,"ODP | Sample 130-805B-17H-5 (72-74 cm.) | Individual Sample | Janus sample_id: 603270 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
751770,ODP02T1A7,"ODP | Sample 184-1144B-38X-5 (107-109 cm.) | Individual Sample | Janus sample_id: 1446677 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
751803,NHB003HTI,NHB | NMNH R11988-00 (MIN) | Mineral>Howlite | Howlite | Individual Sample  |  Lang,mat:mineral
751938,ODP02E7AR,"ODP | Sample 161-977A-18X-2 (22-24 cm.) | Individual Sample | Janus sample_id: 228933 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
751981,ODP02E7CE,"ODP | Sample 161-977A-18X-3 (34-36 cm.) | Individual Sample | Janus sample_id: 153198 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
751996,ODP02T1KW,"ODP | Sample 184-1145B-3H-2 (130-132 cm.) | Individual Sample | Janus sample_id: 1342806 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
752033,NHB003NN7,NHB | NMNH S578-00 (MIN) | | Mineral>Other | Unknown | Ammonium arsenate trihydrate,mat:otheranthropogenicmaterial
752099,ODP022QD0,"ODP | Sample 130-805B-29X-3 (48-50 cm.) | Individual Sample | Janus sample_id: 634067 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
