,igsn,traintext,iSampleMaterial
12870,NHB001072,NHB | NMNH 134354-00 (MIN) | | Mineral>Calcite | Mine | Copper Queen Mine  |  Bisbee | Calcite,5
7044,ODP026FMX,"ODP | Sample 139-858A-15X-1 (55-57 cm.) | Individual Sample | Janus sample_id: 662178 | ODP Leg 139 | platform: Ship, Joides Resolution",11
17657,ODP025ID4,"ODP | Sample 138-849B-1H-2 (34-35 cm.) | Individual Sample | Janus sample_id: 1401812 | ODP Leg 138 | platform: Ship, Joides Resolution",11
9630,CNRS0000005552,CNR | SWIFT_DR32_1_02 | Dredge | Rock>Igneous>Volcanic>Mafic | mid-ocean ridge | South West Indian Ridge | basalt | SWIFT,10
2354,NEON02HQZ,NEO | SJER.20190306.R2627.B [ 737868 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Blood sample collected from a small mammal for pathogen analyses | Peromyscus maniculatus (Wagner_ 1845),7
14932,ODP01KKJM,"ODP | SubSection 175-1080B-4H-2-3C (134-150 cm.) | Core Sub-Piece | Core | ODP Leg 175 | platform: Ship, Joides Resolution",11
9109,ODP01JPAA,"ODP | SubSection 172-1054A-1H-2-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 172 | platform: Ship, Joides Resolution",11
16493,ODP02YEHF,"ODP | Sample 201-1231B-5H-3 (135-150 cm.) | Individual Sample | Janus sample_id: 1478800 | ODP Leg 201 | platform: Ship, Joides Resolution",11
5327,NEON04440,NEO | ONAQ.20190927.130146.E [ 823827 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology,7
1434,NEON02GEN,NEO | HARV_001.20190604.IB.01 [ 734349 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch and sent to archive facility | Invertebrate Bycatch,7
264,URI0000E1,URI | 15TGMC203-13 | Specimen | | Rock>Igneous>Volcanic | 40 cm brown-orange-gray scoria fall_ ungraded_ coarse ash to coarse lapilli_ clean. Knobby_ crystal-rich dark borwn scoria_ crystal-rich with cpx and possibly olivine. Could be Takawangha? | Volcano | Tanaga | North coast_ north flank of Takawangha | Tephra Fall | NSF GeoPRISMS Shared Platform 2015 Leg 3,11
8324,MGD0006AP,MGD | nbp100405101_3 | | geologicage: Not Applicable | Sea | Antarctica:DrakePassage | NBP1004 | platform: Ship_ Nathaniel B. Palmer,3
18173,ODP02D79B,"ODP | Sample 159-959D-66R-1 (18-19 cm.) | Individual Sample | Janus sample_id: 119561 | ODP Leg 159 | platform: Ship, Joides Resolution",11
14667,ODP022QD0,"ODP | Sample 130-805B-29X-3 (48-50 cm.) | Individual Sample | Janus sample_id: 634067 | ODP Leg 130 | platform: Ship, Joides Resolution",11
13641,NHB0036FW,NHB | NMNH M22323-00 (MIN) | | Mineral>Miserite  |  Boulder From S Side Of Pit | Miserite,5
18412,ODP028L4T,"ODP | Sample 146-888B-15H-2 (59-63 cm.) | Individual Sample | Janus sample_id: 842787 | ODP Leg 146 | platform: Ship, Joides Resolution",11
13206,NHB007RGR,NHB | NMNH M25432-00 (MIN) | | Mineral>Strontianite | Faylor Quarry_ Winfield | Strontianite,5
6347,IELND001J,IELND | 2015_XRF_survey15 | Other | collection: In-situ. Sample analyzed in-situ by portable X-ray fluorescence | in-situ surface soil sample | Soil survey,14
8584,IEBEG1KSR,IEBEG | V01575 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-11.1 Ft. | Oil or gas exploration,6
3378,NEON021NN,NEO | TEAK_002-M-31.5-19.5-20190722-GA1 [ 405417 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 1 for microbial sequencing analyses,13
14020,ODP02B6B9,"ODP | Sample 154-926B-55X-3 (145-147 cm.) | Individual Sample | CUBE;  Janus sample_id: 942670 | ODP Leg 154 | platform: Ship, Joides Resolution",10
19894,DSR00071J,HE93-11A | Core | Fundo Encinas,12
8620,ODP01IHB1,"ODP | Section 166-1007B-23X-1 | Core Section | ODP Leg 166 | platform: Ship, Joides Resolution",11
1437,NEON00LDH,NEO | HARV_021.20170816.IB.01 [ 246222 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch and sent to archive facility | Invertebrate Bycatch,7
15487,IEDAI01IA,IEDAI | IAM6/19 XRF | | depth 185-195 CMBS | Paleoenvironmental reconstruciton,11
7960,IEBEG1S6O,IEBEG | R46223 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 2400-7320 Ft. | Oil or gas exploration,10
11450,ODP01W7PI,"ODP | Sample 114-704A-11H-4 (143-145 cm.) | Individual Sample | Janus sample_id: 581112 | ODP Leg 114 | platform: Ship, Joides Resolution",11
4692,IENWU004G,IENWU | 20170629_WLW14_SO_Chem4_30-40cm | Core Section | collection: Manual. 2-in diameter auger | 30 | g | Prairie | Gensburg Markham Prairie | Pristine prairie | Soil characterization,13
7441,NEON06X3U,NEO | [ 970251 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Bulk benthic microbes collected as part of NEON benthic microbe sampling protocols conducted 3 times annually at wadeable streams. Archived on Sterivex SVGP capsule filters at -80 degrees C. | Benthic Microbe,7
6255,ODP01LSGX,"ODP | SubSection 182-1130A-18H-6-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 182 | platform: Ship, Joides Resolution",11
19989,URI000600,URI | TR089-32-H | Core | 70 | Core diameter: 6 cm | TR089,11
8594,IEBEG1NTZ,IEBEG | V03834 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-3208 Ft. | Oil or gas exploration,6
18341,ODP02E68C,"ODP | Sample 161-977A-10H-5 (130-132 cm.) | Individual Sample | Janus sample_id: 1063021 | ODP Leg 161 | platform: Ship, Joides Resolution",11
9786,NHB007FGM,NMNH 117806-1089 (PET) | | Mineral>Other  |  W of Woodfords | Pinite with rhyolitic tuff | Newfoundland Expedition_ 1915,5
65,EOI0000HJ,EOI | S102-gas-15-GT6 | | collection: gas tight bottle. yellow | S102-gas-15. Gastight #6 - yellow. Fired at 0201:12. Saw the poof when they depressed the ram. 238degC flow gray-smoker orifice.  Rock Star is: 173.799375 W 14.940536 S. Z=~2361 at the seafloor. ~25m W of previous samples (?). Samples taken at ~7 m up the chimney at 2354 m. Tmax=238C. | seamount | Mata Ono |  Rockstar | NE Lau Basin | FK171110 | platform: ROV_ Subastian | research,2
17718,IESPM003P,IESPM | LVT222 | Experimental Specimen | 20-80 | Calcite Fluorite,8
16191,NHB003NN8,NHB | NMNH S579-00 (MIN) | | Mineral>Other | Unknown | Cesium-acid-arsenate,8
18029,ODP02VGIZ,"ODP | Sample 190-1173A-73X-2 (74-75 cm.) | Individual Sample | Janus sample_id: 1390079 | ODP Leg 190 | platform: Ship, Joides Resolution",11
6185,IELND0060,IELND | 2015_XRF_survey298 | Other | collection: In-situ. Sample analyzed in-situ by portable X-ray fluorescence | in-situ surface soil sample | Soil survey,14
16966,ODP020RZY,"ODP | Sample 124-767B-53X-4 (140-150 cm.) | Individual Sample | Janus sample_id: 369888 | ODP Leg 124 | platform: Ship, Joides Resolution",11
2865,NEON03BZK,NEO | NEON.BET.D03.000501 [ 746859 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Sample taken from a Carabid leg for genetic barcoding | Tetracha virginica (Linnaeus_ 1767),7
18845,NHB004QI0,NMNH 91169-14 (PET) | Individual Sample  |  Unidentified,4
11000,NHB0014LY,NHB | NMNH 140376-00 (MIN) | | Mineral>Strunzite  |  Oberpfalz_ Waidhaus (2 Km Nw Of)_ Hagendorf | Strunzite,5
5113,NEON02B6C,NEO | LIRO.20170424.EPIXYLON.2-FRACTION-A [ 466226 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Algae preserved subsample for archive | EPIXYLON,7
4408,ODP01HAYS,"ODP | Section Half 161-975B-9H-3-A | Core Section Half | ODP Leg 161 | platform: Ship, Joides Resolution",11
6025,IESDW0022,IESDW | 288-12 | Core Section | 1964 C.E. ice core tephra | depth 16.56-16.61 Meters below ice surface | West Antarctic Ice Sheet Divide | andesite | WDC-06A,9
15076,ODP023JIR,"ODP | Sample 131-808C-59R-2 (115-150 cm.) | Individual Sample | ADDED IN MIGRATION;  Janus sample_id: 177880 | ODP Leg 131 | platform: Ship, Joides Resolution",11
6890,NHB0012GE,NHB | NMNH 137484-00 (MIN) | | Mineral>Andradite | Mining District | Franklin Mining District  |  Franklin | Andradite with franklinite and feldspar,5
7512,NHB006Z2G,NMNH 117322-158 (PET) | | DeBeers kimberlite | DeBeers kimberlite_ in Kimberley | Xenolith with phlogopite clinopyroxenite and kimberlite,10
1421,NEON00PJJ,NEO | GRSM_020.20180612.IB.01 [ 273302 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch and sent to archive facility | Invertebrate Bycatch,7
13326,ODP0172JI,"ODP | SubSection 75-530A-68R-3-1C (0-150 cm.) | Core Sub-Piece | Core | DSDP Leg 75 | platform: Ship, Glomar Challenger",11
19364,NHB002DU1,NMNH C3251-00 (MIN) | | Mineral>Elbaite  |  Elbaite,5
18056,NHB001VM9,NHB | NMNH B2178-00 (MIN) | | Mineral>Hessite | Botes | Hessite,5
8000,ODP029954,"ODP | Sample 150-906A-16X-4 (118-120 cm.) | Individual Sample | Janus sample_id: 869275 | ODP Leg 150 | platform: Ship, Joides Resolution",11
7102,NEON06IYQ,NEO | [ 948112 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair and/or whisker sample collected from a small mammal as part of the NEON small mammal box trapping protocol conducted for 1-3 nights 4-6 times annually. | Myodes rutilus Pallas,7
4349,ODP013C73,"ODP | Section 30-286*-11R-2 | Core Section | DSDP Leg 30 | platform: Ship, Glomar Challenger",11
1660,NEON010VT,NEO | FSH.HOPB.10.20180503.2.0018 [ 273048 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual fish identified as a target taxon and collected as a voucher specimen | Rhinichthys atratulus (Hermann_ 1804),7
73,EXT0000AT,EXT | S17-E809H01 | Individual Sample,4
1843,IEAEM00BR,IEAEM | FS-86-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,3
770,IENPL000J,IENPL | NPL00073815.021 | | collection: grab. collected as beach rubble | Biology>Aragonite | skeletal powder from a modern coral_ Diploria labyrinthoformis | M1 in Tornabene 2016 Thesis | beach | Beach_ SW side of Turks and Caicos Islands | skeletal powder of coral | isotope analysis,1
16945,ODP02QJTL,"ODP | Sample 181-1123A-8H-2 (60-61 cm.) | Individual Sample | Janus sample_id: 136025 | ODP Leg 181 | platform: Ship, Joides Resolution",11
1285,NEON07PXZ,"NEO | [ 1016932 ] | Biology>Macrobiology | Aedes vexans (Meigen, 1830) | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Single-species bulk mosquito sample collected as part of the NEON CO2 mosquito trapping protocol conducted every 2-4 weeks for 2 nights. Archived in liquid nitrogen.",7
13194,ODP01ZJU3,"ODP | Sample 121-758A-22X-3 (26-28 cm.) | Individual Sample | Janus sample_id: 318241 | IODP Leg 121 | platform: Ship, Joides Resolution",11
9616,PRR010958,PRR-10958 | | Rock>Sedimentary | Sandstone with wood_ good sorting of grains from 0.2-0.4mm. | Discovery Ridge | Sandstone,10
1941,NEON03FAM,NEO | KONA.20200819.R5162.H [ 797639 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Sigmodon hispidus Say and Ord_ 1825,7
18911,ODP02LRGT,"ODP | Sample 172-1060A-1H-6 (70-72 cm.) | Individual Sample | Janus sample_id: 43908 | ODP Leg 172 | platform: Ship, Joides Resolution",11
10026,NHB00678I,NMNH 115179-13 (PET) | | Rock>Igneous | Ocean | Pacific Ocean | Rise Iii | Glassy basalt | platform: Ship_ New Horizon,10
8265,ODP01Q1B6,ODP | SubSection 303-1308C-21H-7-1C (0-70 cm.) | Core Sub-Piece | Core | IODP / DSDP,11
3397,ODP004473,"ODP | Core 24-231*-14R | Core | collection: Coring. R: The RCB is designed to recover core samples from medium to hard formations.  The RCB relies on rotation of the drill string to advance the hole and cut the core.  The core bit trims the sample. | DSDP Leg 24 | platform: Ship, Glomar Challenger",10
10425,DSR0001IP,DSR | KN158-4-11MC(X) 4-4.5cm | Core Sub-Piece | 30 | cc | depth 4-4.5 cm | Reconstructing sea surface temerature,12
5064,ODP014FU9,"ODP | SubSection 42-380A-14R-6-1C (0-150 cm.) | Core Sub-Piece | Core | DSDP Leg 42 | platform: Ship, Glomar Challenger",11
19598,ODP02R18Y,"ODP | Sample 181-1123C-28X-6 (69-71 cm.) | Individual Sample | Janus sample_id: 139418 | ODP Leg 181 | platform: Ship, Joides Resolution",11
4027,NEON01R9I,NEO | ABBY_002-O-38-39-20181022-GA1 [ 299670 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 1 for microbial sequencing analyses,13
17553,ARF0003OE,ARF | IO1578-008 PC _ Sample | Core Half Round | 896 | cm | IO1578,12
16950,ODP020R95,"ODP | Sample 124-767B-28X-3 (104-106 cm.) | Individual Sample | Janus sample_id: 363607 | ODP Leg 124 | platform: Ship, Joides Resolution",11
19766,NHB003VOC,NMNH 37242 (PET) | | Sevier Lake | Shell,1
5897,IEBEG130X,IEBEG | R60133 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well_ API number 420710350000. | depth 3500-9099 Ft. | Oil or gas exploration,10
14836,ODP02ETYU,"ODP | Sample 162-980A-10H-5 (89-91 cm.) | Individual Sample | Janus sample_id: 793841 | ODP Leg 162 | platform: Ship, Joides Resolution",11
3963,NEON01VIG,NEO | STER_016-M-15-9.5-20190715-GA4 [ 314671 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 4 for microbial sequencing analyses,13
3937,NEON02AOB,NEO | PRIN.20180314.EPIPSAMMON.4.TAXONOMY-FRACTION-A [ 465574 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Algae preserved subsample for archive | EPIPSAMMON,7
10290,NHB002239,NHB | NMNH B10989-00 (MIN) | | Mineral>Cerussite | Mine | Friedrichssegen Mine  |  Oberlahnstein (Near) | Cerussite,5
19803,HRV000543,HRV | 81950 | | Mineral>Covellite |   ,5
1110,EXT00004S,EXT | C17-G808C04 | Individual Sample,4
4414,NEON07JJS,NEO | [ 1003558 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Aqueous whole genomic DNA from a single tick nymph collected as part of the NEON tick sampling protocol. Used for pathogen testing and archived at -80 degrees C. | Ehrlichia ewingii,7
10240,ODP02LA8G,"ODP | Sample 171-1051B-54X-6 (104-106 cm.) | Individual Sample | p-mag cube;  Janus sample_id: 114215 | ODP Leg 171 | platform: Ship, Joides Resolution",10
19116,ODP02MBC3,"ODP | Sample 172-1058C-7H-5 (74-76 cm.) | Individual Sample | Janus sample_id: 40001846 | ODP Leg 172 | platform: Ship, Joides Resolution",11
13967,NHB006J2O,NMNH 116408-4 (PET) | | Rock>Igneous  |  Locality Key: Ouarzazate_ Tiouine | Ignimbrite,10
3146,NEON01B2S,NEO | BART.20190904.R5065.F [ 403016 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Fecal sample collected from a small mammal for physiological analyses | PELEPEMA,7
1377,NEON00SOR,NEO | CLBJ_042.20190410.IB.01 [ 474677 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch and sent to archive facility | Invertebrate Bycatch,7
17286,WHO000714,"WHO | OC376 StFA-35 Core35 | Core |   | Continental shelf | OC376 | platform: Ship, Oceanus",11
7507,NHB00427H,NHB | NMNH 63682-2087 (PET) | | Rock>Igneous  |  Robbins Ranch_ 2 Mi Sse Of; Low Ridge_ E Of Main Gulch From S Pikes Peak Quad | Trachyte,10
144,IEDUT1017,IEDUT | JAM04A_LA | Slab | | collection: Manual. Hand-held drill | Biology>Macrobiology>Coral | Thick-section of parent hand sample | geologicage: Quaternary: MIS 5.5 Falmouth Formation | Reef | Limestone Falmouth Formation | Rio Bueno Harbour | Eastern side of the harbour_ beneath Queen's Landing | Orbicella annularis_ encrusting algae | UF Jamaica 2015 Fieldwork | Paleosea-level,1
6192,IELND006V,IELND | 2015_XRF_survey325 | Other | collection: In-situ. Sample analyzed in-situ by portable X-ray fluorescence | in-situ surface soil sample | Soil survey,14
3514,TOR0001EE,TOR | 2123 | Core Section Half | Rock>Igneous>Volcanic>Mafic | depth 102-108 cm | agenumeric: 3.23-3.5 Ma | Continental Rift | Ethiopian Rift/Afar Triangle | Northern Awash River Valley | Basalt,10
14925,ODP02THC4,"ODP | Sample 184-1146C-28X-2 (60-61 cm.) | Individual Sample | Janus sample_id: 1380182 | ODP Leg 184 | platform: Ship, Joides Resolution",11
7272,NHB0006IZ,NMNH 83025-00 (MIN) | | Mineral>Corundum | Bounding box from the GeoNames record for South America (https://geonames.org/6255150) | Corundum,5
6071,NEON02PKH,NEO | TREE_049-M-1-15.5-20170710-GEN-DNA1 [ 740950 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Soil DNA extraction sample,13
13130,IERRR00QT,IERRR | CZO0408 | | 7 | g | depth 50-60 cm | BSLT | Reynolds Critical Zone Observatory (CZO),13
15107,ARF000E5Z,ARF | DF87 032 PC 0040-0042 cm | Core Sub-Piece | 6 | cc | depth 40-42 cm | DF87,12
10428,HRV001280,HRV | 102192 | | Mineral>Sabugalite | Mineral Group: Autunite; Number of pieces: 1;  Crystal size: fine;  | Kariz,5
13589,NHB006N8D,NHB | NMNH 116569-103 (PET) | | Rock>Sedimentary | Deccan Trap Basalts | Slr 7 | Sediment,11
15859,ODP02JBMV,"ODP | Sample 167-1012B-4H-1 (85-89 cm.) | Individual Sample | Janus sample_id: 1242546 | ODP Leg 167 | platform: Ship, Joides Resolution",11
1830,IENWUC094,IENWU | 20160627_WLS1_SO_Micro9_80_90cm | Pristine Prairie | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 2 | g | Prairie | Gensburg-Markham-Prairie | Soil characterization,13
4181,ODP011FP0,"ODP | Section Half 8-71*-29R-2-A | Core Section Half | DSDP Leg 8 | platform: Ship, Glomar Challenger",11
10440,IEIND03P9,IEIND | CA-78 125 | Powder | | T5S R14W Sec. 35 | Indiana Geological Survey Drill Hole 285 | Geochemical analysis,10
18362,ODP028J40,"ODP | Sample 146-893A-18H-1 (25-27 cm.) | Individual Sample | Janus sample_id: 1330184 | ODP Leg 146 | platform: Ship, Joides Resolution",11
5957,NEON00ZM8,NEO | BBC.WOOD051100.20160727.05-1.POOL.AR [ 245161 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Root subsample for archive,7
14463,ODP02SRWW,"ODP | Sample 184-1148A-35X-1 (25-27 cm.) | Individual Sample | Janus sample_id: 1357141 | ODP Leg 184 | platform: Ship, Joides Resolution",11
11351,NHB0034TM,NHB | NMNH M20224-00 (MIN) | Mineral>Calcite | Calcite | Individual Sample  |  Boulder From S Side Of Pit,5
1055,IECOR000B,IECOR | EA-2-23 | Other | collection: Dredging; Manual. Coral was hand-drilled along skeleton | Biology>Macrobiology>Coral | Outer continental shelf | Seamount in Adare Trough | Western Ross Sea_ Antarctica | Stylasteridae_ Errina | NBP-07-01 | Radiocarbon analysis,1
9711,DSR000MYZ,DSR | RC08-050PC_50cm | Core Piece | 5 | cc | Archive half | depth 50-52 cm | Stable isotope geochemistry for chronology,12
594,DSR0010QC,DSR | MGL1208-06GC_22cm | Core Piece | 20 | cc | depth 4-5 cm | Glacial deep Pacific carbon storage and effects on CaCO3 preservation ,12
10170,NHB005CLC,NHB | NMNH 109418-88 (PET) | | Rock>Sedimentary  |  Granville Twp; 2 Mi E Of Hartford | Quartz sandstone with quartz,10
1525,NEON00Q59,NEO | ONAQ_004.20180522.IB.01 [ 277012 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch and sent to archive facility | Invertebrate Bycatch,7
9520,ODP02I9WX,"ODP | Sample 166-1006A-8H-7 (19-21 cm.) | Individual Sample | Janus sample_id: 1147150 | ODP Leg 166 | platform: Ship, Joides Resolution",11
5824,IEALD00KA,IEALD | PRRT-17-32 | | collection: manual. grab sample | soil porewater 25 cm | ridge | Glacier Creek Preserve | Glacier Creek Preserve Prairie | geochemistry,3
5154,ODP01JAOH,"ODP | Section Half 169-1033D-8H-3-W | Core Section Half | ODP Leg 169 | platform: Ship, Joides Resolution",11
9705,ODP02JQWS,"ODP | Sample 167-1018C-4H-2 (12-14 cm.) | Individual Sample | Janus sample_id: 1254778 | ODP Leg 167 | platform: Ship, Joides Resolution",11
10543,ODP02M6M5,"ODP | Sample 172-1060B-4H-2 (125-127 cm.) | Individual Sample | Janus sample_id: 1291785 | ODP Leg 172 | platform: Ship, Joides Resolution",11
16327,ODP02Y5B5,"ODP | Sample 201-1228A-2H-6 (145-150 cm.) | Individual Sample | Janus sample_id: 1467779 | ODP Leg 201 | platform: Ship, Joides Resolution",11
19175,ODP02M8BK,"ODP | Sample 172-1063B-3H-2 (120-122 cm.) | Individual Sample | Janus sample_id: 1294713 | ODP Leg 172 | platform: Ship, Joides Resolution",11
14344,IEDAI04NX,IEDAI | TSCH1/17 grounded | | depth 420-430 CMBS | Paleoenvironmental reconstruction,11
761,IEDAI0AXK,IEDAI | BAP18-B13-38 | Individual Sample | Bapska A | Bapska | Bapska 2018; East Hungary Tell Project | xrf,4
7824,ODP028689,"ODP | Sample 145-887C-25H-4 (77-78 cm.) | Individual Sample | Janus sample_id: 1404029 | ODP Leg 145 | platform: Ship, Joides Resolution",11
14978,IEFRA08KP,IEFRA | LDB13_P3b | Core Section Half | 50 | CONTINENT | BOURGET | BIOSED13/05/13,12
14835,NHB006NBN,NHB | NMNH 116587-2 (PET) | | Rock>Sedimentary  |  Three Sisters Bridge | Sediment,11
15689,ODP02IMLC,"ODP | Sample 166-1007B-26X-5 (60-65 cm.) | Individual Sample | Janus sample_id: 11489 | ODP Leg 166 | platform: Ship, Joides Resolution",11
81,IECJCH979,IECJC | JEMEZ_G1139-MC_Pit5-5cm | Liquid | | collection: Wick. Custom made_ fiberglass wick-based passive capillary wick samplers (PCaps_ Perdrial et al. 2012) | 3 | mL | Soil solution | Analysis Notes: sample used up completely - no backups exist; Sampling Notes: evacuated;  | Resurgent dome | Valles Caldera | La Jara Creek Catchment | 2013 Burned ZOB (formerly as Mixed Conifer) Pedon 5 | Catalina-Jemez Critical Zone Observatory (CZO),3
7042,ODP026F9W,"ODP | Sample 139-858A-5H-2 (121-123 cm.) | Individual Sample | Janus sample_id: 667346 | ODP Leg 139 | platform: Ship, Joides Resolution",11
14195,IEDAI00YS,IEDAI | ELA70/18A grounded | | depth 135-140 CMBS | Paleoenvironmental reconstruction,11
8724,IEBEG0TYB,IEBEG | R20042 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-225 Ft. | Oil or gas exploration,6
958,IECJCM150,IECJC | AZ_G3188-MG_SC5-66cm | | collection: Tension Lysimeter. SoilMoisture suction cups lysimeter; Tesion Sampler  | Soil solution | Mountain | Santa Catalina Mountains | Marshall Gulch | Schist Convergent Lysimeter 5 | Catalina-Jemez Critical Zone Observatory (CZO),3
8664,NHB0027FE,NHB | NMNH B17965-00 (MIN) | | Mineral>Antigorite  |  Zermatt (Near)_ Rimpfischwaenge | Antigorite with magnetite and schweizerite,5
6609,IEBEG0R9U,IEBEG | R47222 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well_ API number 422010378700. | depth 0-1 Ft. | Oil or gas exploration,6
16008,ODP01SEX1,"ODP | Sample 104-642B-22H-3 (149-150 cm.) | Individual Sample | Janus sample_id: 507864 | ODP Leg 104 | platform: Ship, Joides Resolution",11
16678,NHB004PYU,NMNH 90757-2 (PET) | | Rock>Sedimentary  |  Canyon Creek | Phosphate rock,10
7238,IEACM01NN,IEACM | DUR 15.5 | | cattle. M3 mandibular enamel | Durrington Walls | Tooth | The early prehistoric husbandry of cattle and pigs in Britain,1
10459,ODP01VXXS,"ODP | Sample 113-690C-21X-2 (58-60 cm.) | Individual Sample | Janus sample_id: 537635 | ODP Leg 113 | platform: Ship, Joides Resolution",11
15589,ODP02VH4Q,"ODP | Sample 190-1175A-2H-5 (139-140 cm.) | Individual Sample | Janus sample_id: 1395113 | ODP Leg 190 | platform: Ship, Joides Resolution",11
3954,ODP010SBL,"ODP | Core 172-1062E-10H | Core | collection: Coring. H: The APC is a hydraullically actuated piston corer designed to recover undisturbed core samples from soft sediments.  It is designed to be delivered through the drill string to the sediment to be cored whether at the sea floor or hundreds of meters below it | ODP Leg 172 | platform: Ship, Joides Resolution",12
4403,NEON07J0B,NEO | [ 1002857 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Aqueous whole genomic DNA from a single tick nymph collected as part of the NEON tick sampling protocol. Used for pathogen testing and archived at -80 degrees C. | HardTick DNA Quality Quality,7
14957,HRV000NM6,HRV | 90691 | | Mineral>Cassiterite | Mineral Group: Rutile;    | Vegetable Creek,5
18011,IEFRA00BN,IEFRA | URB13_P10 | Core | 45 | lake | URBINO | CORSICA24/06/13,12
4511,NEON02XTT,NEO | WALK.SS.20151116.EPILITHON.4 - SLIDE A [ 776775 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Algae slide-mounted subsample for taxonomy | EPILITHON,7
15865,ODP02JBQX,"ODP | Sample 167-1012B-4H-4 (54-55 cm.) | Individual Sample | Janus sample_id: 1242475 | ODP Leg 167 | platform: Ship, Joides Resolution",11
6857,NEON064RC,"NEO | [ 931191 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Pinned mosquito voucher collected as part of the NEON CO2 mosquito trapping protocol conducted every 2-4 weeks for 2 nights conducted every 2-4 weeks for 2 nights. | Aedes purpureipes Aitken, 1941",7
5353,IEKN223SQ167,IEKN2 | KN223_S11_LC1_S08_75_80_IWSQ | Liquid | | collection: Long Piston Core. Sqeezer extracted sediment porewater | depth 75-80 cm bct |  Abyssal Hill Province | KN223,3
4587,GBP100056,GBP | 50223200260000 Alcor1 | Rock>Sedimentary | Core Whole Round | Core 1_ Wax Core_ 1 foot | depth 8656.15-8657.15 MD Feet | geologicage: Cretaceous Hue Shale | 50223200260000 | Coring,10
16513,ODP01VY9Z,"ODP | Sample 113-694C-6X-5 (49-51 cm.) | Individual Sample | Janus sample_id: 548096 | ODP Leg 113 | platform: Ship, Joides Resolution",11
15471,HRV000I11,HRV | 88863 | | Mineral>Phenakite | Number of pieces: 1; Quality: reference;  ,5
12366,ODP022H9Z,"ODP | Sample 130-807A-13H-6 (44-46 cm.) | Individual Sample | Janus sample_id: 1563793 | ODP Leg 130 | platform: Ship, Joides Resolution",11
13850,ODP02AW84,"ODP | Sample 154-929A-21X-3 (145-150 cm.) | Individual Sample | ADDED IN MIGRATION;  Janus sample_id: 195483 | ODP Leg 154 | platform: Ship, Joides Resolution",11
17790,PRR010712,PRR | PRR-10712 | Quartz Vein | | Late quartz vein | Smith Island,10
17187,ODP0291CD,"ODP | Sample 149-897D-16R-2 (35-42 cm.) | Individual Sample | Janus sample_id: 875283 | ODP Leg 149 | platform: Ship, Joides Resolution",11
